graph
-----------------
('a', 'b', 1)
('a', 'c', 2)
('b', 'd', 5)
('c', 'd', 3)
('d', 'e', 2)
('d', 'f', 3)
('e', 'f', 1)
('e', 'g', 4)
('f', 'g', 3)
('d', 'i', 5)
('i', 'j', 2)
('j', 'h', 7)
('h', 'c', 5)
('f', 'i', 1)
-----------------
parameters
-----------------
ORGANISMS: 100
GENES: 14
GENERATIONS: 300
MUTATION_RATE: 0.05
-----------------
initial organisms
-----------------
[0, 2, 1, 1, 3, 3, 0, 1, 2, 1, 3, 2, 1, 1]
[3, 1, 3, 0, 3, 3, 1, 2, 1, 1, 3, 1, 3, 1]
[2, 2, 1, 3, 3, 0, 2, 1, 1, 3, 1, 3, 3, 0]
[0, 1, 1, 3, 1, 0, 0, 3, 0, 1, 3, 2, 3, 0]
[3, 3, 2, 3, 1, 2, 0, 3, 0, 0, 3, 0, 1, 2]
[0, 1, 3, 3, 0, 3, 0, 1, 2, 2, 3, 3, 1, 2]
[3, 2, 1, 2, 1, 1, 0, 2, 1, 1, 2, 1, 2, 0]
[3, 1, 0, 0, 3, 0, 2, 1, 2, 1, 0, 3, 2, 2]
[2, 0, 1, 3, 1, 2, 0, 2, 0, 2, 3, 3, 2, 0]
[3, 3, 2, 1, 2, 3, 0, 3, 2, 1, 0, 2, 2, 2]
[1, 1, 0, 2, 1, 3, 3, 0, 1, 0, 1, 3, 3, 3]
[0, 3, 1, 1, 3, 1, 1, 0, 0, 0, 2, 3, 3, 2]
[3, 1, 1, 2, 0, 0, 2, 0, 1, 3, 3, 2, 1, 3]
[1, 1, 1, 2, 2, 0, 0, 1, 1, 0, 0, 2, 1, 2]
[0, 0, 1, 1, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1]
[3, 0, 0, 2, 2, 3, 0, 0, 1, 2, 1, 2, 3, 1]
[3, 2, 1, 1, 1, 1, 1, 0, 1, 0, 3, 1, 1, 0]
[2, 3, 3, 0, 1, 0, 1, 0, 0, 2, 0, 1, 3, 1]
[2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 3, 0, 1, 3]
[1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 2, 0, 2, 2]
[3, 1, 3, 2, 0, 3, 0, 1, 1, 3, 0, 2, 3, 2]
[3, 0, 0, 1, 3, 0, 2, 1, 0, 0, 1, 0, 3, 2]
[1, 1, 3, 0, 3, 3, 0, 1, 1, 2, 0, 2, 3, 0]
[1, 0, 2, 3, 3, 2, 0, 1, 1, 1, 0, 1, 0, 0]
[3, 0, 3, 1, 2, 2, 2, 2, 1, 1, 0, 1, 3, 0]
[1, 3, 0, 0, 1, 3, 0, 0, 3, 1, 0, 1, 2, 0]
[0, 1, 3, 0, 2, 2, 2, 3, 1, 0, 1, 0, 3, 2]
[0, 0, 1, 3, 3, 2, 2, 2, 0, 0, 1, 3, 1, 0]
[2, 0, 3, 1, 3, 2, 3, 1, 2, 0, 1, 3, 0, 3]
[2, 3, 0, 3, 0, 0, 0, 0, 1, 3, 2, 0, 2, 1]
[2, 2, 2, 1, 3, 0, 3, 2, 1, 2, 3, 0, 3, 3]
[2, 1, 3, 2, 0, 1, 3, 3, 0, 3, 2, 2, 2, 3]
[0, 0, 2, 2, 2, 2, 3, 0, 1, 3, 0, 2, 1, 3]
[1, 1, 3, 2, 1, 2, 0, 2, 0, 0, 1, 1, 3, 0]
[2, 0, 1, 3, 0, 1, 1, 1, 1, 1, 3, 0, 1, 2]
[3, 1, 0, 2, 1, 1, 2, 3, 2, 3, 0, 0, 0, 2]
[0, 2, 0, 2, 3, 0, 1, 0, 2, 0, 1, 0, 0, 2]
[3, 1, 0, 3, 2, 3, 0, 3, 1, 3, 0, 0, 0, 0]
[3, 0, 2, 1, 1, 3, 1, 2, 2, 2, 2, 0, 0, 2]
[3, 2, 0, 3, 0, 1, 3, 2, 1, 3, 1, 2, 3, 2]
